ID,Name,alpha_min,err_alpha_min,Pmin,errPmin,a0,err_a0,h,err_h,refractive_index,k,Bus
1,Ceres,7.09,0.23,-1.631,0.124,18.05,0.17,0.2351,0.007,1.662,17.101,C
2,Pallas,7.46,0.25,-1.435,0.127,18.54,0.19,0.2094,0.0063,1.682,15.699,B
3,Juno,8.02,0.57,-0.731,0.119,20.28,0.42,0.0947,0.006,1.749,14.976,Sk
4,Vesta,7.37,0.14,-0.676,0.029,21.86,0.62,0.0649,0.0011,1.803,20.252,V
5,Astraea,8.43,1.08,-0.714,0.223,20.28,0.4,0.1005,0.0106,1.752,13.235,S
6,Hebe,8.87,0.64,-0.827,0.141,22.27,0.4,0.0988,0.0065,1.828,13.407,S
7,Iris,8.5,0.61,-0.758,0.136,21.24,0.42,0.0957,0.0058,1.787,13.895,S
8,Flora,7.63,0.34,-0.685,0.077,19.63,0.45,0.0894,0.0036,1.722,16.143,S
9,Metis,9.18,1.17,-0.754,0.21,23.26,0.47,0.0849,0.0102,1.867,13.115,T
10,Hygiea,7.69,0.84,-1.405,0.361,18.19,0.18,0.2263,0.0198,1.672,14.118,C
11,Parthenope,7.8,0.97,-0.775,0.237,19.07,0.35,0.113,0.012,1.704,14.646,Sk
12,Victoria,10.75,0.97,-0.799,0.153,22.7,0.32,0.1264,0.0091,1.868,8.357,L
13,Egeria,9.23,0.64,-2.063,0.327,21.57,0.14,0.286,0.0158,1.807,11.552,Ch
14,Irene,8.6,1.08,-0.786,0.232,20.82,0.38,0.1066,0.0112,1.773,13.093,S
15,Eunomia,7.65,1.59,-0.705,0.347,20.69,0.49,0.081,0.016,1.761,17.273,S
16,Psyche,7.96,0.31,-1.041,0.08,23.48,0.43,0.0938,0.0043,1.867,18.647,X
17,Thetis,6.27,0.79,-0.748,0.213,18.44,0.46,0.0862,0.0093,1.671,23.609,Sl
18,Melpomene,8.94,0.48,-0.816,0.106,21.87,0.39,0.1035,0.0048,1.814,12.785,S
19,Fortuna,10.03,1,-1.746,0.368,21.46,0.14,0.2853,0.0227,1.815,9.172,Ch
20,Massalia,6.18,0.31,-0.709,0.069,19.62,0.57,0.0701,0.0036,1.714,26.397,S
21,Lutetia,9.33,0.3,-1.321,0.097,25.03,0.32,0.1269,0.004,1.934,13.997,Xk
23,Thalia,7.73,1.34,-0.791,0.354,20.99,0.45,0.089,0.0145,1.772,17.168,S
24,Themis,9.42,0.85,-1.429,0.283,20.54,0.17,0.2356,0.0165,1.775,10.091,B
25,Phocaea,8.94,1.45,-0.629,0.223,19.35,0.36,0.1116,0.0146,1.728,10.501,S
27,Euterpe,7.14,0.54,-0.636,0.099,21.11,0.63,0.0635,0.005,1.774,20.855,S
29,Amphitrite,8.61,1.16,-0.893,0.266,22.03,0.38,0.1046,0.0133,1.817,14.192,S
30,Urania,8.11,0.96,-0.785,0.233,20.62,0.4,0.0993,0.0109,1.762,14.922,Sl
39,Laetitia,8.51,1.15,-0.712,0.222,21.49,0.46,0.0873,0.0109,1.796,14.096,S
40,Harmonia,7.03,0.99,-0.858,0.255,20.85,0.46,0.0865,0.0119,1.764,21.24,S
42,Isis,7.21,0.91,-0.718,0.228,18.02,0.37,0.1067,0.0117,1.661,16.383,L
44,Nysa,6.73,0.89,-0.319,0.098,18.59,1.01,0.0397,0.005,1.679,20.175,Xc
46,Hestia,8.25,0.65,-1.485,0.268,18.35,0.15,0.2636,0.0161,1.685,11.921,Xc
47,Aglaja,7.58,0.76,-1.416,0.34,17.86,0.17,0.2342,0.0192,1.66,14.237,B
51,Nemausa,8.67,0.88,-1.942,0.469,20.63,0.15,0.2736,0.0225,1.767,12.643,Ch
54,Alexandra,9.44,1.23,-1.978,0.575,21.51,0.14,0.2879,0.0286,1.807,10.84,C
55,Pandora,7.34,0.69,-0.964,0.196,20.78,0.39,0.1035,0.0102,1.762,19.122,X
56,Melete,9.09,0.54,-1.392,0.181,19.27,0.16,0.2568,0.0117,1.728,9.952,Xk
