YY,MM,DD,UT,Inst,Exp,N,r,Delta,pi,alpha,P,eP,Theta,eTheta,Pr,Theta_r
2021,Oct,27,18:53--19:35, WFGS2 ,300,8,2.31,1.46,235.4,15.9,0.51,0.58,69.9,47.2,-0.45,104.5
2021,Oct,28,14:41--18:14, WFGS2 ,300,12,2.31,1.45,234.1,15.5,1.09,0.35,65.3,16.3,-1.01,101.2
2021,Nov,14,12:35--20:31, WFGS2 ,300,40,2.25,1.3,188.3,9,1.47,0.15,21.1,10.8,-1.33,102.8
2021,Nov,15,10:24--15:23, WFGS2 ,300,44,2.25,1.3,184,8.8,1.29,0.16,12.4,14.3,-1.23,98.4
2021,Nov,2,17:22--19:50, HONIR ,120,56,2.29,1.39,225.3,13.4,1,0.25,41,7.3,-0.99,85.7
2021,Dec,22,10:22--13:17, HONIR ,120,64,2.07,1.33,80.5,22.6,0.57,0.41,-0.29,20.3,0.55,9.2
2021,Dec,23,09:12--12:41, HONIR ,120,80,2.06,1.34,79.8,23,0.96,0.32,3.6,9.6,0.85,13.8
2021,Nov,10,00:57--02:49, FAPOL ,180,16,2.27,1.33,206.2,10.5,1.37,0.23,26.5,14.9,-1.37,90.4
2021,Nov,13,01:18--01:33, FAPOL ,180,8,2.26,1.31,195.2,9.5,1.33,0.25,10.7,7.9,-1.31,85.5
2021,Nov,15,01:55--02:23, FAPOL ,180,8,2.25,1.3,186.4,9,1.47,0.2,176.7,5.5,-1.39,80.3
2021,Nov,30,22:15--23:33, FAPOL ,180,20,2.18,1.26,114.3,11.5,1.29,0.13,113.3,4.9,-1.29,89
2021,Dec,11,21:15--21:43, FAPOL ,180,8,2.13,1.28,91.5,17.2,0.67,0.2,86,11.5,-0.66,84.6
2021,Dec,23,19:27--21:39, FAPOL ,180,28,2.06,1.34,79.5,23.2,0.7,0.11,159.8,7.1,0.66,-9.7
2022,Jan,24,20:08--20:11, FAPOL ,180,8,1.84,1.59,68.4,32.4,3.55,0.32,151.36,3.6,3.55,-7.07
2017,Dec,9,12:16--17:39, PICO ,30,188,1.13,0.15,201.8,19.3,0.4,0.11,-4.2,7.8,-0.24,64
2017,Dec,10,10:58--16:53, PICO ,30,144,1.11,0.14,187.9,19.2,0.17,0.11,15.4,18.3,-0.16,97.5
2017,Dec,11,10:46--16:18, PICO ,30,424,1.1,0.12,170.4,20,0.02,0.1,31.5,52,0,131.2
2017,Dec,12,12:39--16:32, PICO ,30,180,1.08,0.11,149,22.6,0.94,0.11,67.5,7.9,0.9,8.5
2017,Dec,13,10:24--15:08, PICO ,30,172,1.07,0.09,129.7,27.1,1.92,0.1,34.5,3.1,1.89,-5.1
